Date,Close,High,Low,Open,Volume,MA7,MA30,Daily Change,Daily Return
8/11/2023,175.5687408,176.3883729,174.3442427,175.1046267,52036700,178.3567309,187.2545115,0.464114105,0.033750092
8/14/2023,177.2178802,177.4450025,175.0947327,175.7464905,43675600,176.7411455,186.7854975,1.471389754,0.939312657
8/15/2023,175.2329865,177.237623,174.83799,176.6451283,43622600,176.1352975,186.2999578,-1.412141816,-1.120030211
8/16/2023,174.3639984,176.309372,174.2948657,174.9169995,46964900,175.8476802,185.8225978,-0.553001129,-0.49590437
8/17/2023,171.8261108,175.2922528,171.3126033,174.9268803,66062900,175.0636684,185.2448634,-3.100769443,-1.455511227
8/18/2023,172.3099823,172.9123618,169.8115925,170.1473411,61172200,174.5756008,184.7204035,2.16264124,0.281605315
8/21/2023,173.6431122,173.9294975,171.5693579,172.8827431,46311900,174.308973,184.3084284,0.760369037,0.773681168
8/22/2023,175.0157623,175.4601372,174.0480102,174.847888,42038900,174.2299761,183.9596293,0.167874287,0.790500774
8/23/2023,178.8571167,179.2817522,176.1019811,176.2896096,52722800,174.4641527,183.6833211,2.567507059,2.194861948
8/24/2023,174.1763916,178.8374232,173.811004,178.4127876,54945800,174.3132106,183.2256775,-4.236396019,-2.617019207
8/25/2023,176.3784943,176.911741,173.6233584,175.1638658,51449600,174.6009957,182.8365051,1.214628485,1.26429457
8/28/2023,177.9387817,178.3337783,176.3192718,177.8400251,43820700,175.4742344,182.3908641,0.098756668,0.884624558
8/29/2023,181.8196716,182.5899254,177.2573969,177.4548952,53003900,176.8327615,182.0831334,4.364776434,2.181025325
8/30/2023,185.3055573,185.5030706,182.4319253,182.6294235,60813900,178.4988251,181.8465627,2.676133723,1.917221381
8/31/2023,185.5228119,186.7571948,185.137685,185.4931879,60794500,179.9998322,181.6819921,0.029623985,0.117241297
9/1/2023,187.0929565,187.547201,185.9276912,187.1225805,45766500,181.1763807,181.6088796,-0.029623985,0.846335088
9/5/2023,187.3299255,187.6064261,185.2660412,185.9276685,45280000,183.055457,181.5170385,1.402257014,0.126658426
9/6/2023,180.6247711,186.4905606,179.2027597,186.0461708,81755800,183.662068,181.1730927,-5.421399648,-3.579329037
9/7/2023,175.341629,175.9835172,171.3718492,172.991359,112488800,183.2910461,180.624115,2.350269988,-2.924926663
9/8/2023,175.9538727,177.9881484,175.5687458,176.121762,65551300,182.4530749,180.1376221,-0.167889338,0.349171874
9/11/2023,177.1191406,178.047399,175.1243736,177.8202768,58953100,181.2835868,179.6041738,-0.701136143,0.662257628
9/12/2023,174.0973663,177.8795173,172.6358612,177.2475139,90370200,179.6513803,178.9496185,-3.150147555,-1.706068741
9/13/2023,172.0334778,175.0848686,171.8063405,174.3047302,84267900,177.5000262,178.2538803,-2.271252417,-1.185479478
9/14/2023,173.544342,173.8998449,171.4113251,171.8260759,60895800,175.5306571,177.7081085,1.718266183,0.878238513
9/15/2023,172.8234711,174.2948609,171.6483512,174.2751065,109259500,174.4161857,177.1846583,-1.451635457,-0.415381431
9/18/2023,175.746521,177.1389087,173.9690064,174.275131,67257600,174.4740274,177.0604116,1.471390009,1.691350086
9/19/2023,176.8327484,177.3857495,174.9169839,175.3021107,51826900,174.599581,177.0755925,1.530637675,0.618064819
9/20/2023,173.2974701,177.4548628,173.2085831,177.0203577,58436200,174.0536281,176.9417018,-3.72288756,-1.999221497
9/21/2023,171.756958,174.0973581,171.6878404,172.3692221,63149100,173.7192841,176.8093852,-0.612264133,-0.888940897
9/22/2023,172.6062012,174.8675988,171.8754562,172.4877053,56725400,173.8011017,176.7126083,0.118495922,0.494444693
9/25/2023,173.8801117,174.7589917,171.9742167,172.023595,46172700,173.8490688,176.6563207,1.856516672,0.73804447
9/26/2023,169.8115997,173.0111107,169.5153448,172.6358685,64588900,173.4188014,176.4094447,-2.824268783,-2.339837445
9/27/2023,168.300705,170.8780972,166.9379564,170.4633463,66921800,172.3551134,176.1783686,-2.162641381,-0.889747684
9/28/2023,168.5574341,169.8806888,165.5257828,167.2242947,56294400,171.1729257,175.9848165,1.333139385,0.15254192
9/29/2023,169.0709686,170.907731,168.2118279,169.8708464,51861100,170.5691398,175.8929784,-0.799877732,0.30466443
10/2/2023,171.5792084,172.1223398,168.7944336,169.0808188,52164500,170.5437469,175.8686193,2.49838957,1.483542542
10/3/2023,170.2460938,171.4607374,168.6858469,170.1078435,49594600,170.2065887,175.7553853,0.13825029,-0.776967464
10/4/2023,171.4903259,172.0334573,168.8339319,168.9524278,53020300,169.8651908,175.6378708,2.537898102,0.730843305
10/5/2023,172.724762,173.2580088,170.5226117,171.6187445,48527900,170.2813568,175.433459,1.106017503,0.71982838
10/6/2023,175.2724915,175.7662446,171.0163268,171.6285909,57266700,171.2773263,175.4699956,3.643900509,1.475022726
10/9/2023,176.7537537,176.8130016,173.6036062,174.6009821,42390800,172.4482291,175.4825043,2.152771516,0.845119616
10/10/2023,176.1612549,177.4746401,175.7267497,175.8748847,43698000,173.4611271,175.4232534,0.286370208,-0.335211427
10/11/2023,177.5536346,177.603013,175.3811238,175.9736185,47551100,174.3146166,175.2810521,1.580016097,0.790400682
10/12/2023,178.4522705,180.0618955,176.8031217,177.8202671,56743100,175.4869276,175.0526093,0.632003431,0.506120793
10/13/2023,176.6154938,179.6569997,175.9143577,179.1533769,51427100,176.2190944,174.7556986,-2.537883154,-1.029281795
